Customer,Project Code,Route Code,Trip No,Supplier Code,Plant Code,Pickup Before,Release Time,Pickup Time,Depart Time,Delivery Time,Complete Time,Update by,Update Date
ADIENT,AD-MR-IB,test1234,makky,AAPICO,Trim LCB,1,12.23,12.50,13.20,13.50,13.58,Batman,05/10/2020
ADIENT,AD-MR-IB,test1234,makky,AAPICO,Trim LCB,12,10.20,10.20,10.20,10.20,10.20,Batman,05/10/2020
ADIENT,AD-MR-IB,aum,sdasd,AUN,Metal,1,12.45,12.30,13.20,14.20,15.20,Batman,05/10/2020
ADIENT,AD-MR-IB,aun,love,AUN,Metal,1,12.30,14.30,15.20,16.20,16.30,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,1234,AUN,Metal,1,12.30,14.20,15.30,16.30,17.30,Batman,05/10/2020
ADIENT,AD-MR-IB,test,12345,AUN,Metal,1,12.45,12.30,12.55,13.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.10,12.30,13.20,13.20,13.20,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,tesyt,AUN,Metal,12,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,tesyt,AUN,Metal,12,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,tesyt,AUN,Metal,12,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,tesyt,AUN,Metal,12,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,tesyt,AUN,Metal,12,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,test,makky,AUN,Metal,1,01.20,12.00,12.00,12.00,12.00,Batman,05/10/2020
ADIENT,AD-MR-IB,12,12,AUN,Metal,1,12.30,12.30,12.30,12.30,12.30,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,13.00,13.45,13.50,14.20,14.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,11.30,12.30,13.30,17.30,19.20,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,1234,AUN,Metal,1,12.30,14.20,14.25,15.30,16.45,Batman,05/10/2020
ADIENT,AD-MR-IB,makky,aun,AUN,Metal,1,11.30,12.30,14.30,15.30,16.30,Batman,05/10/2020
ADIENT,AD-MR-IB,test,test,AUN,Metal,1,12.30,14.30,15.30,16.30,17.30,Batman,05/10/2020
