Customer,Project Code,Route Code,Trip No,Supplier Code,Plant Code,Pickup Before,Release Time,Pickup Time,Depart Time,Delivery Time,Complete Time,Update by,Update Date
dfdf,AD-MR-IB,test,,XCL,Metal,1,12.30,14.30,15.30,16.30,17.30,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.30,12.03,12.20,12.30,14.50,Batman,
dfdf,AD-MR-IB,rounteCode21/10/2020-2,,AAPICO,AT,1,12.30,14.40,15.30,16.20,17.02,Batman,
dfdf,AD-MR-IB,rounteCode21/10/2020-2,,AAPICO,AT,1,12.30,14.40,15.30,16.20,17.02,Batman,
dfdf,AD-MR-IB,routeCode21/10/2020,,AUN,JIT-Rayong,1,12.30,14.30,15.20,17.30,18.30,Batman,
dfdf,AD-MR-IB,routeCode10/10/2020,,AUN,Foam,1,12.30,14.30,16.30,17.30,15.20,Batman,
dfdf,AD-MR-IB,new,,AAPICO,AT,1,12.30,12.45,13.30,14.30,15.30,Batman,
dfdf,AD-MR-IB,test-generate,,NSG,AT,1,10.20,12.30,14.30,15.20,16.30,Batman,
dfdf,AD-MR-IB,SPV-JIT-Rayong,,SPV,JIT-Rayong,1,11.30,12.30,13.30,14.30,15.30,Batman,
