File ID,Order ID,Supplier,Plant,Part No,Due Date,Order Qty,Pakage No,Pakage Qty,Route&Qty,Uploaded By,Uploaded Date
AD20112801,20200604A165,AUN,Metal,UPR CROSS TUBE,04/06/2020,150,,,test-gen-pus-12,Batman,28/11/2020
AD20112801,20200608A207,AUN,Metal,UPR CROSS TUBE,08/06/2020,300,,,test-gen-pus-12,Batman,28/11/2020
AD20112801,20200609A171,AUN,Metal,UPR CROSS TUBE,09/06/2020,300,,,test-gen-pus-12,Batman,28/11/2020
AD20112801,20200611A096,AUN,Metal,UPR CROSS TUBE,11/06/2020,150,,,test-gen-pus-12,Batman,28/11/2020
AD20112801,20200619A109,AUN,Metal,UPR CROSS TUBE,19/06/2020,150,,,test-gen-pus-12,Batman,28/11/2020
AD20112802,20200601A075,AUN,Metal,UPR CROSS TUBE,01/06/2020,120,,,test-gen-pus-12,Batman,28/11/2020
AD20112401,20200601A065,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,01/06/2020,1740,12,145.00,,Batman,24/11/2020
AD20112401,20200608A205,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,08/06/2020,1500,12,125.00,,Batman,24/11/2020
AD20112401,20200615A216,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,15/06/2020,1320,12,110.00,,Batman,24/11/2020
AD20112401,20200601A066,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,01/06/2020,650,12,55.00,,Batman,24/11/2020
AD20112401,20200608A206,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,08/06/2020,495,12,42.00,,Batman,24/11/2020
AD20112401,20200615A217,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,15/06/2020,540,12,45.00,,Batman,24/11/2020
