Project Code,status,Supplier Code,Part Number,Part Name,Package No,Package Volume,Part Weight,Remark,Update By,Update Date
makky,Draft,dfgdfg,number,partname,test,45.00,12.00,,Batman,18/11/2020
AD-MR-IB,Confirm,AUN,2622069,RR MEMB PIPE LH R/C,packagesNo,12.00,12.00,test,Batman,09/11/2020
AD-MR-IB,Confirm,AUN,2621970,MAIN PIPE RH R/C,packagesNo,12.00,45.00,45,Batman,09/11/2020
AD-MR-IB,Confirm,AUN,2622075,MAIN PIPE LH R/C,packagesNo,1.00,12.00,test,Batman,09/10/2020
AD-MR-IB,Confirm,AUN,1799826,ASM HR FRAME CTR,packagesNo,12.00,45.00,,Batman,02/10/2020
AD-MR-IB,Confirm,SPV,1950525,PIVOT COVER OB RH ,packagesNo,78.00,45.00,,Batman,28/09/2020
AD-MR-IB,Confirm,AUN,2621969,RR MEMB PIPE RH R/C,packagesNo,45.00,21.00,,Batman,25/09/2020
AD-MR-IB,Confirm,AUN,2527824,SUPPORT TUBE UPR,packagesNo,12.00,20.00,,Batman,25/09/2020
AD-MR-IB,Draft,XCL,EB3A-96624A35-B,REINF RR ST BK SUPT BRKT ,,,,,Batman,25/09/2020
AD-MR-IB,Draft,XCL,EB3A-96613D79-A,BRKT ASY RR ST BEL RETR MTGN,,,,,Batman,25/09/2020
AD-MR-IB,Draft,XCL,AG154410-A,FR RR ST BK UPR 60 ,,,,,Batman,25/09/2020
AD-MR-IB,Draft,XCL,AG154409-A,FR RR ST BK UPR 40 ,,,,,Batman,25/09/2020
AD-MR-IB,Confirm,AUN,2480322,UPR CROSS TUBE,packagesNo,45.00,45.00,,Batman,24/09/2020
AD-MR-IB,Confirm,XCL,EB3A-96606B09-A,REINF BRKT RR ST ,packagesNo,12.00,23.00,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96605A39-A,BRKT RR ST CSHN SUPT FRT ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG151344-B,FR RR ST BK CTR ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150201-C,RISER LINK ASSY U375 2R LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150200-C,RISER LINK ASSY U375 2R RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AAPICO,3489126,ASM RSB LATCH + 4 PRE-,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AAPICO,1863665,ASM LATCH WITH STRAP RSB,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1846457,BRACKET MOTOR HOLDER ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG127557-B,PIN CTR PIVOT RSB,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG127556-B,SHAFT PVT RSB HEX OTR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG148436-A,PLATE SBR SUPPORT RSC EXEC,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96600E76-A-TH,PAN RR ST CSHN,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96624A35-B-TH,REINF RR ST BK SUPT BRKT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96613D79-A-TH,BRKT ASY RR ST BEL RETR MTGN,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96606B08-A-TH,REINF BRKT RR ST,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96605A39-A-TH,BRKT RR ST CSHN SUPT FRT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,EB3A-96605A38-A-TH,BRKT RR ST CSHN SUPT FRT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG154543-B,SHIM PLATE 1.2MM U375 TOWEL BAR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG154416-A-TH,REINF RR ST BK SUPT BRKT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG154411-A-TH,BRKT RR ST CTR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG154410-A-TH,FR RR ST BK UPR 60,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG154409-A-TH,FR RR ST BK UPR 40,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG151829-A-TH,BRKT ASSY RR ST BELT MTNG,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG151344-B-TH,FR RR ST BK CTR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150499-A-TH,BRKT REINF CATCHER PIN,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150302-A-TH,BRKT - RR ST CSHN SUPT FRT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150201-C-TH,RISER LINK ASSY U375 2R LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG150200-C-TH,RISER LINK ASSY U375 2R RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141389-B-TH,FRM RSC 3R LH IB FRT LNK RVT ASY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141388-B-TH,FRM RSC 3R LH OB FRT LNK RVT ASY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141387-B-TH,FRM RSC 3R RH IB FRT LNK RVT ASY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141386-B-TH,FRM RSC 3R RH OB FRT LNK RVT ASY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141380-C-TH,CUSH SIDE MEM ASSY WELD LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,AG141379-C-TH,CUSH SIDE MEM ASSY WELD RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,3296987,CUSH SIDE FRM INR 8W PAS,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,3296990,CUSHION SIDE FRM ASM OTR8WAY PAS,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,3296993,CUSHION SIDE FRM ASM OTR8WAY DRV,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,3296989,CUSH SIDE FRM INR 8W DRV,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2590063,ASSY RECL MOTOR BRKT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2753446,TUBE FLANGE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2675413,2PT LATCH SUPPORTBRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2522745,HING FRONT INR LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2696674,HINGE ATTACH BRACKET LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2524290,HING FRONT INR RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2588636,ASSY PACTH SIDEMENBERFREE HINGE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2527373,BRACKET MOTOR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2504487,CUSHION PANEL,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2689982,CUSHION SLIDER BRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2689981,ASSY BELT BUCKEL ATTACHMENT BRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2689975,TOP TETHER,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2770441,ASSY LATCH MTG BRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697839,RR MOUNTING BRKT INR RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697838,RR MOUNTING BRKT INR LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2691745,HR GUIDE BRACKET RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2690399,CUSHION SIDEMEMBER SUBASSY INNER LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2691743,HR GUIDE BRACKET LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697964,ASSY HINGE BRACKET LOWER LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697699,BRACKET DAMPER,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2689875,ARMREST HINGE BRACKET LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2691243,FRONT CROSS TUBE 40,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2787117,ASSY STRIKER BRACKET LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2787118,ASSY STRIKER BRACKET RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2691368,ASSY CUSHION SIDEMEMBEROUTER RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697975,ASSY HINGE AND TUBECONNECTION  RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2689991,ASSY CUSHION SIDEMEMBEROUTER LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697974,ASSY HINGE AND TUBECONNECTION LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2697960,ASSY HINGE BRACKET LOWER RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799721,STOPER PIVOT ROD,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799720,PIVOT ROD,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2254222,PLUNGER BRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1950280,BRACKET BACK PIVOT-RSB R,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1950279,BRACKET BACK PIVOT-RSB L,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1863656,BACK CORNER SUPPORT BRKT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799706,BRACKET ARMREST MTG LH-R,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799705,BRACKET ARMREST MTG RH-R,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799693,BRACKET BACK LATCH MTG,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799692,METAL SLEEVE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,2004583,C BRACKET,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1956472,WIRE FOAM SUPPORT FRT VE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1950492,CUSHION PIVOT BRACKET RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1950483,CUSHION PIVOT BRACKET LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799812,FLOOR HOOK BRACKET CUSHI,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799809,WIRE FRT HOOK GUIDE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,1799802,WIRE FOAM SUPPORT VERT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,XCL,3409489,MY17 HR SUPP GUIDE BRK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2358665-YYW,UPPER TRACK END CAP RH BLACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2358664-YYW,UPPER TRACK END CAP LH BLACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2238464-ZHE,TRACK COVER RH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2238469-ZHE,TRACK COVER LH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1797527-ZHE,SIDE VALANCE I/B RH EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1797527-A06,SIDE VALANCE I/B RH RIVER ROCK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1797528-ZHE,SIDE VALANCE I/B LH EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1797528-A06,SIDE VALANCE I/B LH RIVER ROCK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1978518-ZHE,RECLINER LEVER RH RAP EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1978518,RECLINER LEVER RH RAP ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1848297-ZHE,RECLINER LEVER RH EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1848297-A06,RECLINER LEVER RH RIVER ROCK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1978519-ZHE,RECLINER LEVER LH RAP EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1978519,RECLINER LEVER LH RAP ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1848298-ZHE,RECLINER LEVER LH EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1848298-A06,RECLINER LEVER LH RIVER ROCK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3024068-ZHE,RECLINER COVER OUTER 60% IB ASM EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3024063-ZHE,RECLINER COVER OUTER 60% OB ASM EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3024145-ZHE,RECLINER COVER OUTER 40% IB ASM EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3024097-ZHE,RECLINER COVER OUTER 40% OB ASM EBONY,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2360107,PLASTIC CLIP TILT ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1950525-ZHE,PIVOT COVER OB RH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1950523-ZHE,PIVOT COVER OB LH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1950523,PIVOT COVER OB LH ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2068897-ZHE,PIVOT COVER CAP RH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2068897,PIVOT COVER CAP RH ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2068619-ZHE,PIVOT COVER CAP LH EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,2068619,PIVOT COVER CAP LH ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1919285-ZHE,LUMBAR LEVER EBONY ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1919285-A06,LUMBAR LEVER  RIVER ROCK ,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3185304-JA6,LOWER TRACK END CAP RH BLACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,3185305-JA6,LOWER TRACK END CAP LH BLACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,SPV,1895998-A06,LATCH LOWER BRACKET COVER LH IB RIVER ROCK,,,,,Batman,24/09/2020
