Truck Plan Ref.,Number of PUS,Due Date,Route Code,Trip
Aun1__20200615A01,Aun1__20200615A01,2,2020-06-15 00:00:00,Aun-metal,1
rou2__20200603A01,rou2__20200603A01,2,2020-06-03 00:00:00,routeCode10/10/2020,2
SPV1__20200615A01,SPV1__20200615A01,2,2020-06-15 00:00:00,SPV-JIT-Rayong,1
rou2__20200611A01,rou2__20200611A01,2,2020-06-11 00:00:00,routeCode10/10/2020,2
SPV1__20200604A01,SPV1__20200604A01,2,2020-06-04 00:00:00,SPV-JIT-Rayong,1
Aun1__20200619A01,Aun1__20200619A01,2,2020-06-19 00:00:00,Aun-metal,1
SPV1__20200605A01,SPV1__20200605A01,2,2020-06-05 00:00:00,SPV-JIT-Rayong,1
rou2__20200618A01,rou2__20200618A01,2,2020-06-18 00:00:00,routeCode10/10/2020,2
,,1,2020-06-02 00:00:00,Aun-metal,1
Aun1__20200608A01,Aun1__20200608A01,2,2020-06-08 00:00:00,Aun-metal,1
Aun1__20200604A01,Aun1__20200604A01,2,2020-06-04 00:00:00,Aun-metal,1
rou2__20200608A01,rou2__20200608A01,2,2020-06-08 00:00:00,routeCode10/10/2020,2
Aun1__20200605A01,Aun1__20200605A01,2,2020-06-05 00:00:00,Aun-metal,1
rou2__20200604A01,rou2__20200604A01,2,2020-06-04 00:00:00,routeCode10/10/2020,2
Aun1__20200616A01,Aun1__20200616A01,2,2020-06-16 00:00:00,Aun-metal,1
SPV1__20200609A01,SPV1__20200609A01,2,2020-06-09 00:00:00,SPV-JIT-Rayong,1
SPV1__20200608A01,SPV1__20200608A01,2,2020-06-08 00:00:00,SPV-JIT-Rayong,1
Aun1__20200610A01,Aun1__20200610A01,2,2020-06-10 00:00:00,Aun-metal,1
Aun1__20200618A01,Aun1__20200618A01,2,2020-06-18 00:00:00,Aun-metal,1
Aun1__20200611A01,Aun1__20200611A01,2,2020-06-11 00:00:00,Aun-metal,1
Aun1__20200601A01,Aun1__20200601A01,2,2020-06-01 00:00:00,Aun-metal,1
rou2__20200610A01,rou2__20200610A01,2,2020-06-10 00:00:00,routeCode10/10/2020,2
SPV1__20200601A01,SPV1__20200601A01,2,2020-06-01 00:00:00,SPV-JIT-Rayong,1
SPV1__20200602A01,SPV1__20200602A01,2,2020-06-02 00:00:00,SPV-JIT-Rayong,1
Aun1__20200617A01,Aun1__20200617A01,2,2020-06-17 00:00:00,Aun-metal,1
Aun1__20200602A01,Aun1__20200602A01,1,2020-06-02 00:00:00,Aun-metal,1
Aun1__20200603A01,Aun1__20200603A01,2,2020-06-03 00:00:00,Aun-metal,1
rou2__20200616A01,rou2__20200616A01,2,2020-06-16 00:00:00,routeCode10/10/2020,2
Aun1__20200613A01,Aun1__20200613A01,2,2020-06-13 00:00:00,Aun-metal,1
Aun1__20200606A01,Aun1__20200606A01,2,2020-06-06 00:00:00,Aun-metal,1
rou2__20200617A01,rou2__20200617A01,2,2020-06-17 00:00:00,routeCode10/10/2020,2
rou2__20200605A01,rou2__20200605A01,2,2020-06-05 00:00:00,routeCode10/10/2020,2
rou2__20200609A01,rou2__20200609A01,2,2020-06-09 00:00:00,routeCode10/10/2020,2
Aun1__20200609A01,Aun1__20200609A01,2,2020-06-09 00:00:00,Aun-metal,1
Aun1__20200612A01,Aun1__20200612A01,2,2020-06-12 00:00:00,Aun-metal,1
