Truck Plan Ref.,Number of PUS,Due Date,Route Code,Trip
Aun1__20200615A03,Aun1__20200615A03,1,2020-06-15 00:00:00,Aun-metal,1
rou2__20200610A03,rou2__20200610A03,1,2020-06-10 00:00:00,routeCode10/10/2020,2
Aun1__20200606A03,Aun1__20200606A03,1,2020-06-06 00:00:00,Aun-metal,1
Aun1__20200612A03,Aun1__20200612A03,1,2020-06-12 00:00:00,Aun-metal,1
rou2__20200604A03,rou2__20200604A03,1,2020-06-04 00:00:00,routeCode10/10/2020,2
Aun1__20200617A03,Aun1__20200617A03,1,2020-06-17 00:00:00,Aun-metal,1
Aun1__20200605A03,Aun1__20200605A03,1,2020-06-05 00:00:00,Aun-metal,1
Aun1__20200608A03,Aun1__20200608A03,1,2020-06-08 00:00:00,Aun-metal,1
SPV1__20200605A03,SPV1__20200605A03,1,2020-06-05 00:00:00,SPV-JIT-Rayong,1
SPV1__20200604A03,SPV1__20200604A03,1,2020-06-04 00:00:00,SPV-JIT-Rayong,1
Aun1__20200604A03,Aun1__20200604A03,1,2020-06-04 00:00:00,Aun-metal,1
Aun1__20200619A03,Aun1__20200619A03,1,2020-06-19 00:00:00,Aun-metal,1
SPV1__20200601A03,SPV1__20200601A03,1,2020-06-01 00:00:00,SPV-JIT-Rayong,1
SPV1__20200608A03,SPV1__20200608A03,1,2020-06-08 00:00:00,SPV-JIT-Rayong,1
Aun1__20200603A03,Aun1__20200603A03,1,2020-06-03 00:00:00,Aun-metal,1
Aun1__20200613A03,Aun1__20200613A03,1,2020-06-13 00:00:00,Aun-metal,1
Aun1__20200601A03,Aun1__20200601A03,1,2020-06-01 00:00:00,Aun-metal,1
Aun1__20200602A03,Aun1__20200602A03,1,2020-06-02 00:00:00,Aun-metal,1
SPV1__20200602A03,SPV1__20200602A03,1,2020-06-02 00:00:00,SPV-JIT-Rayong,1
SPV1__20200609A03,SPV1__20200609A03,1,2020-06-09 00:00:00,SPV-JIT-Rayong,1
rou2__20200608A03,rou2__20200608A03,1,2020-06-08 00:00:00,routeCode10/10/2020,2
rou2__20200616A03,rou2__20200616A03,1,2020-06-16 00:00:00,routeCode10/10/2020,2
SPV1__20200615A03,SPV1__20200615A03,1,2020-06-15 00:00:00,SPV-JIT-Rayong,1
Aun1__20200616A03,Aun1__20200616A03,1,2020-06-16 00:00:00,Aun-metal,1
rou2__20200603A03,rou2__20200603A03,1,2020-06-03 00:00:00,routeCode10/10/2020,2
Aun1__20200611A03,Aun1__20200611A03,1,2020-06-11 00:00:00,Aun-metal,1
Aun1__20200609A03,Aun1__20200609A03,1,2020-06-09 00:00:00,Aun-metal,1
Aun1__20200618A03,Aun1__20200618A03,1,2020-06-18 00:00:00,Aun-metal,1
rou2__20200605A03,rou2__20200605A03,1,2020-06-05 00:00:00,routeCode10/10/2020,2
rou2__20200617A03,rou2__20200617A03,1,2020-06-17 00:00:00,routeCode10/10/2020,2
rou2__20200618A03,rou2__20200618A03,1,2020-06-18 00:00:00,routeCode10/10/2020,2
Aun1__20200610A03,Aun1__20200610A03,1,2020-06-10 00:00:00,Aun-metal,1
rou2__20200611A03,rou2__20200611A03,1,2020-06-11 00:00:00,routeCode10/10/2020,2
rou2__20200609A03,rou2__20200609A03,1,2020-06-09 00:00:00,routeCode10/10/2020,2
