1;2480322;AD20111104;20200601A001;01/06/2020;10;{"add": "10", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200602A001;02/06/2020;10;{"add": "10", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200603A001;03/06/2020;400;{"add": "400", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200604A001;04/06/2020;5;{"add": "5", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200605A001;05/06/2020;1;{"add": "1", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200606A001;06/06/2020;5;{"add": "5", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200611A001;11/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200612A001;12/06/2020;77;{"add": "77", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200613A001;13/06/2020;78;{"add": "78", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200615A001;15/06/2020;79;{"add": "79", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
1;2480322;AD20111104;20200619A001;19/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;UPR CROSS TUBE;add
2;2527824;AD20111104;20200604A002;04/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200605A002;05/06/2020;1;{"add": "1", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200606A002;06/06/2020;40;{"add": "40", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200608A001;08/06/2020;300;{"add": "300", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200609A001;09/06/2020;50;{"add": "50", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200611A002;11/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
2;2527824;AD20111104;20200619A002;19/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;SUPPORT TUBE UPR;add
3;2621969;AD20111104;20200601A002;01/06/2020;200;{"add": "200", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200604A003;04/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200605A003;05/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200608A002;08/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200609A002;09/06/2020;50;{"add": "50", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200611A003;11/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200615A002;15/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200617A001;17/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
3;2621969;AD20111104;20200619A003;19/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;RR MEMB PIPE RH R/C;add
4;2621970;AD20111104;20200601A003;01/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;MAIN PIPE RH R/C;add
4;2621970;AD20111104;20200604A004;04/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;MAIN PIPE RH R/C;add
4;2621970;AD20111104;20200605A004;05/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;MAIN PIPE RH R/C;add
4;2621970;AD20111104;20200608A003;08/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;MAIN PIPE RH R/C;add
4;2621970;AD20111104;20200609A003;09/06/2020;150;{"add": "150", "update": [], "delete": []};AUN;Metal;MAIN PIPE RH R/C;add
